Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|LNG_imp|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|bio_istig_ccs|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|bio_istig|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|bio_ppl_co2scr|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|c_ppl_co2scr|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|cement_CO2|M1,,22.29968585559198,27.406963405825127,31.25598403582514,39.00410599881967,46.776687523183966,53.2707010668561,59.77138539999273,66.04303929484882,72.26466226872132
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|cement_co2scr|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|coal_adv_ccs|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|coal_adv|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|coal_extr_ch4|M1,,20.50322480713319,20.50322480713319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|coal_extr|M1,,20.255210560264164,28.408980626991422,39.8450649458096,55.88476479959916,31.034316388106333,43.52723416122992,61.04919760541719,85.62465775932418,120.09301193093532
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|coal_imp|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|eth_bio_ccs|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|eth_bio|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|flaring_CO2|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|foil_imp|M1,,0.0,0.0,0.0,0.0,0.0,4.319494770087575,12.88282980181406,24.468603038385975,5.052247513970912
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|g_ppl_co2scr|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|gas_cc_ccs|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|gas_cc|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|gas_extr_1|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|gas_extr_2|M1,,99.3066458882265,99.3066458882265,57.738204115872435,91.00808181062219,103.41863504957719,80.10539082742784,53.99103301661549,36.389955982877076,24.52683015026231
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|gas_extr_3|M1,,0.0,0.0,0.0,0.0,0.0,45.27829201765673,67.18484236996284,45.282583420974554,30.520460999016453
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|gas_extr_4|M1,,0.0,0.0,0.0,0.0,0.0,0.0,45.731337845458924,102.82065036850062,89.2483245934016
