Time,Region,PC,PCC,ECPC,AP,Temperature
2021,PAK,1180.0409,234.96628,234.96628,274.21112,1.5 deg at 50% with small overshoot
2025,PAK,907.8181,281.04565,376.57623,273.5448,1.5 deg at 50% with small overshoot
2030,PAK,585.0771,261.91968,410.2201,281.63553,1.5 deg at 50% with small overshoot
2035,PAK,396.67502,232.35248,445.31952,303.10855,1.5 deg at 50% with small overshoot
2040,PAK,220.63326,159.70174,470.6989,307.6789,1.5 deg at 50% with small overshoot
2045,PAK,112.558395,97.01596,502.05707,327.52878,1.5 deg at 50% with small overshoot
2050,PAK,13.09857,13.09857,529.8539,320.48767,1.5 deg at 50% with small overshoot
2055,PAK,-42.33265,-42.33265,562.46234,356.58197,1.5 deg at 50% with small overshoot
2060,PAK,-92.5419,-92.5419,593.00287,393.4082,1.5 deg at 50% with small overshoot
2065,PAK,-118.894165,-118.894165,625.76825,417.0999,1.5 deg at 50% with small overshoot
2070,PAK,-142.83716,-142.83716,656.90826,428.29694,1.5 deg at 50% with small overshoot
2075,PAK,-159.31656,-159.31656,687.7445,462.47092,1.5 deg at 50% with small overshoot
2080,PAK,-174.9169,-174.9169,717.2096,500.63153,1.5 deg at 50% with small overshoot
2085,PAK,-186.5529,-186.5529,746.1108,530.5227,1.5 deg at 50% with small overshoot
2090,PAK,-197.67827,-197.67827,773.91614,558.2631,1.5 deg at 50% with small overshoot
2095,PAK,-206.12973,-206.12973,801.1846,577.28345,1.5 deg at 50% with small overshoot
2100,PAK,-214.37552,-214.37552,827.5313,603.65125,1.5 deg at 50% with small overshoot
2021,PAK,1180.0409,234.96628,234.96628,274.21112,2.0 deg at 67%
2025,PAK,1050.876,325.33408,491.6499,292.97412,2.0 deg at 67%
2030,PAK,896.6147,401.38477,602.1351,332.57712,2.0 deg at 67%
2035,PAK,767.99994,449.85614,681.24866,374.07043,2.0 deg at 67%
2040,PAK,639.64374,462.99554,742.84607,398.67767,2.0 deg at 67%
2045,PAK,519.17267,447.4836,795.1183,432.5336,2.0 deg at 67%
2050,PAK,400.21243,400.21243,840.08124,433.17728,2.0 deg at 67%
2055,PAK,293.00702,293.00702,881.6805,479.96408,2.0 deg at 67%
2060,PAK,188.47235,188.47235,919.3297,522.60626,2.0 deg at 67%
2065,PAK,170,106.90219,957.9093,537.296,2.0 deg at 67%
2070,PAK,170,28.546577,994.09296,530.1299,2.0 deg at 67%
2075,PAK,170,-30.984404,1031.4436,550.30096,2.0 deg at 67%
2080,PAK,170,-87.68055,1067.1288,569.93964,2.0 deg at 67%
2085,PAK,170,-126.34849,1104.452,585.36475,2.0 deg at 67%
2090,PAK,170,-162.40747,1140.5677,595.7857,2.0 deg at 67%
2095,PAK,170,-182.57822,1178.3048,605.8869,2.0 deg at 67%
2100,PAK,170,-201.5268,1214.8969,622.4552,2.0 deg at 67%
