short_names,technology,include,technology shares,share basis,input commodity,input level,input basis,input,output commodity,output level,output,IEA flow,IEA product,unit,output or input
meth_ng,meth_ng,y,,model,gas,primary,model,1.666666667,lightoil,secondary,0,"EGTL, TGTL","REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, RESFUEL, NAPHTHA, WHITESP, LUBRIC, BITUMEN, PARWAX, PETCOKE, ONONSPEC, OTHKERO",TJ,output
bio_ppl,"bio_ppl,bio_istig",y,,model,biomass,primary,model,3.333333333,electr,secondary,1,ELOUTPUT,"PRIMSBIO, CHARCOAL, RENEWNS, MUNWASTER",GWh,output
coal_ppl,"coal_ppl,coal_ppl_u,coal_adv,igcc",y,"0.8,0.2",model,coal,secondary,model,2.63,electr,secondary,1,ELOUTPUT,"HARDCOAL, BROWN, ANTCOAL, COKCOAL, BITCOAL, SUBCOAL, LIGNITE, PEAT, PATFUEL, OVENCOKE, GASCOKE, COALTAR, BKB, GASWKSGS, COKEOVGS, BLFURGS, MANGAS, INDWASTE, MUNWASTEN",GWh,output
foil_ppl,foil_ppl,y,,model,fueloil,secondary,model,2.5,electr,secondary,1,ELOUTPUT,"BITUMEN, PARWAX, PETCOKE, RESFUEL",GWh,output
gas_ppl,"gas_ct,gas_cc,gas_ppl",y,"0.1,0.6,0.3",model,gas,secondary,model,1.785714286,electr,secondary,1,ELOUTPUT,NATGAS,GWh,output
hydro_ppl,"hydro_lc,hydro_hc",y,"0.9,0.1",model,hydro,renewable,model,1,electr,secondary,1,ELOUTPUT,HYDRO,GWh,output
loil_ppl,"loil_ppl,loil_cc",y,,model,lightoil,secondary,model,2.5,electr,secondary,1,ELOUTPUT,"OTHKERO, ONONSPEC, REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, NAPHTHA, WHITESP, LUBRIC",GWh,output
muc_ppl,"nuc_lc,nuc_hc",y,,model,u5,stocks,model,0.967,electr,secondary,1,ELOUTPUT,NUCLEAR,GWh,output
coal_exp,coal_exp,y,,model,coal,primary,model,1,coal,export,1,EXPORTS,"HARDCOAL, BROWN, ANTCOAL, COKCOAL, BITCOAL, SUBCOAL, LIGNITE, PEAT, PATFUEL, OVENCOKE, GASCOKE, COALTAR, BKB, GASWKSGS, COKEOVGS, BLFURGS, MANGAS, INDWASTE, MUNWASTEN",TJ,input
eth_exp,eth_exp,y,,model,ethanol,primary,model,1,ethanol,export,1,EXPORTS,"BIOGASOL, BIODIESEL, OBIOLIQ, BIOJETKERO",TJ,output
foil_exp,foil_exp,y,,model,fueloil,secondary,model,1,fueloil,export,1,EXPORTS,"BITUMEN, PARWAX, PETCOKE, RESFUEL",TJ,input
gas_exp,gas_exp,y,,model,gas,,model,,,,1,EXPORTS,NATGAS,TJ,input
loil_exp,loil_exp,y,,model,lightoil,secondary,model,1,lightoil,export,1,EXPORTS,"OTHKERO, ONONSPEC, REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, NAPHTHA, WHITESP, LUBRIC",TJ,input
oil_exp,oil_exp,y,,model,crudeoil,primary,model,1,crudeoil,export,1,EXPORTS,"CRNGFEED, CRUDEOIL, NGL, REFFEEDS, ADDITIVE, NONCRUDE",TJ,input
bio_hpl,bio_hpl,y,,model,,,model,,,,,HEATOUT,"PRIMSBIO, CHARCOAL, RENEWNS, MUNWASTER",TJ,output
coal_hpl,coal_hpl,y,,model,,,model,,,,,HEATOUT,"HARDCOAL, BROWN, ANTCOAL, COKCOAL, BITCOAL, SUBCOAL, LIGNITE, PEAT, PATFUEL, OVENCOKE, GASCOKE, COALTAR, BKB, GASWKSGS, COKEOVGS, BLFURGS, MANGAS, INDWASTE, MUNWASTEN",TJ,output
foil_hpl,foil_hpl,y,,model,,,model,,,,,HEATOUT,"BITUMEN, PARWAX, PETCOKE, RESFUEL",TJ,output
gas_hpl,gas_hpl,y,,model,,,model,,,,,HEATOUT,NATGAS,TJ,output
coal_imp,coal_imp,y,,model,,,model,1,coal,secondary,1,IMPORTS,"HARDCOAL, BROWN, ANTCOAL, COKCOAL, BITCOAL, SUBCOAL, LIGNITE, PEAT, PATFUEL, OVENCOKE, GASCOKE, COALTAR, BKB, GASWKSGS, COKEOVGS, BLFURGS, MANGAS, INDWASTE, MUNWASTEN",TJ,output
eth_imp,eth_imp,y,,model,,,model,1,ethanol,secondary,1,IMPORTS,"BIOGASOL, BIODIESEL, OBIOLIQ, BIOJETKERO",TJ,output
foil_imp,foil_imp,y,,model,,,model,,fueloil,secondary,1,IMPORTS,"BITUMEN, PARWAX, PETCOKE, RESFUEL",TJ,output
gas_imp,gas_imp,y,,model,,,model,,gas,secondary,1,IMPORTS,NATGAS,TJ,output
LNG_imp,LNG_imp,y,,model,LNG,import,model,1,LNG,secondary,1,IMPORTS,('LNG' ),TJ,output
loil_imp,loil_imp,y,,model,,,model,1,lightoil,secondary,1,IMPORTS,"OTHKERO, ONONSPEC, REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, NAPHTHA, WHITESP, LUBRIC",TJ,output
meth_imp,meth_imp,y,,model,methanol,import,model,1,methanol,secondary,1,IMPORTS,('methanol' ),TJ,output
oil_imp,oil_imp,y,,model,,,model,,crudeoil,secondary,1,IMPORTS,"CRNGFEED, CRUDEOIL, NGL, REFFEEDS, ADDITIVE, NONCRUDE",TJ,output
coal_extr,"coal_extr,lignite_extr,coal_extr_ch4",y,,model,coal,resource,model,1,coal,primary,1,INDPROD,"HARDCOAL, BROWN, ANTCOAL, COKCOAL, BITCOAL, SUBCOAL, LIGNITE, PEAT, PATFUEL, OVENCOKE, GASCOKE, COALTAR, BKB, GASWKSGS, COKEOVGS, BLFURGS, MANGAS, INDWASTE, MUNWASTEN",TJ,output
eth_bio,eth_bio,y,,model,biomass,primary,model,2.43902439,ethanol,primary,1,INDPROD,"BIOGASOL, BIODIESEL, OBIOLIQ, BIOJETKERO",TJ,output
gas_extr,"gas_extr_1,gas_extr_2,gas_extr_3,gas_extr_4,gas_extr_5,gas_extr_6",y,,model,gas_1,resource,model,1.030927835,gas,primary,1,INDPROD,NATGAS,TJ,output
