node_loc,technology,year_vtg,value_dist,value_util,unit
R12_PAK,solar_res_hist_2020,2016,0,0.390281,GW
R12_PAK,solar_res_hist_2020,2017,0.018751,0.057647,GW
R12_PAK,solar_res_hist_2020,2018,0,0.031974,GW
R12_PAK,solar_res_hist_2020,2019,0.039595,0.046746,GW
R12_PAK,solar_res_hist_2020,2020,0.053509,0.058786,GW
R12_PAK,solar_res_hist_2025,2021,0.279315,0.435,GW
R12_PAK,solar_res_hist_2025,2022,0.235814,0.625,GW
R12_PAK,solar_res_hist_2025,2023,,,GW
R12_PAK,solar_res_hist_2025,2024,0.398815,1.02,GW
R12_PAK,solar_res_hist_2025,2025,0.486315,1.094375,GW
