node,commodity,level,year,time,value,unit
R11_SAS,i_feed,useful,2020,year,85.33,GWa
R11_SAS,i_feed,useful,2030,year,128.79,GWa
R11_SAS,i_feed,useful,2040,year,182.11,GWa
R11_SAS,i_feed,useful,2050,year,239.99,GWa
R11_SAS,i_feed,useful,2060,year,295.14,GWa
R11_SAS,i_feed,useful,2070,year,347.35,GWa
R11_SAS,i_feed,useful,2080,year,401.48,GWa
R11_SAS,i_feed,useful,2090,year,457.55,GWa
R11_SAS,i_feed,useful,2100,year,513.54,GWa
R11_SAS,i_feed,useful,2110,year,576.25,GWa
R11_SAS,i_feed,useful,2025,year,107.06,GWa
R11_SAS,i_feed,useful,2035,year,155.45,GWa
R11_SAS,i_feed,useful,2045,year,211.05,GWa
R11_SAS,i_feed,useful,2055,year,267.57,GWa
R11_SAS,i_spec,useful,2020,year,57.88,GWa
R11_SAS,i_spec,useful,2030,year,101.63,GWa
R11_SAS,i_spec,useful,2040,year,172.74,GWa
R11_SAS,i_spec,useful,2050,year,249.54,GWa
R11_SAS,i_spec,useful,2060,year,327.6,GWa
R11_SAS,i_spec,useful,2070,year,404.54,GWa
R11_SAS,i_spec,useful,2080,year,482.87,GWa
R11_SAS,i_spec,useful,2090,year,554.07,GWa
R11_SAS,i_spec,useful,2100,year,622.09,GWa
R11_SAS,i_spec,useful,2110,year,698.44,GWa
R11_SAS,i_spec,useful,2025,year,79.75,GWa
R11_SAS,i_spec,useful,2035,year,137.18,GWa
R11_SAS,i_spec,useful,2045,year,211.14,GWa
R11_SAS,i_spec,useful,2055,year,288.57,GWa
R11_SAS,i_therm,useful,2020,year,167.63,GWa
R11_SAS,i_therm,useful,2030,year,280.86,GWa
R11_SAS,i_therm,useful,2040,year,420.54,GWa
R11_SAS,i_therm,useful,2050,year,537.44,GWa
R11_SAS,i_therm,useful,2060,year,649.91,GWa
R11_SAS,i_therm,useful,2070,year,772.58,GWa
R11_SAS,i_therm,useful,2080,year,911.19,GWa
R11_SAS,i_therm,useful,2090,year,1006.68,GWa
R11_SAS,i_therm,useful,2100,year,1080.72,GWa
R11_SAS,i_therm,useful,2110,year,1160.19,GWa
R11_SAS,i_therm,useful,2025,year,224.24,GWa
R11_SAS,i_therm,useful,2035,year,350.7,GWa
R11_SAS,i_therm,useful,2045,year,478.99,GWa
R11_SAS,i_therm,useful,2055,year,593.68,GWa
R11_SAS,non-comm,useful,2020,year,39.7547,GWa
R11_SAS,non-comm,useful,2030,year,42.7839,GWa
R11_SAS,non-comm,useful,2040,year,40.06,GWa
R11_SAS,non-comm,useful,2050,year,29.6765,GWa
R11_SAS,non-comm,useful,2060,year,18.5839,GWa
R11_SAS,non-comm,useful,2070,year,9.72293,GWa
R11_SAS,non-comm,useful,2080,year,0,GWa
R11_SAS,non-comm,useful,2090,year,0,GWa
R11_SAS,non-comm,useful,2100,year,0,GWa
R11_SAS,non-comm,useful,2110,year,0,GWa
R11_SAS,non-comm,useful,2025,year,41.2693,GWa
R11_SAS,non-comm,useful,2035,year,41.42195,GWa
R11_SAS,non-comm,useful,2045,year,34.86825,GWa
R11_SAS,non-comm,useful,2055,year,24.1302,GWa
R11_SAS,rc_spec,useful,2020,year,36.09,GWa
R11_SAS,rc_spec,useful,2030,year,78.03,GWa
R11_SAS,rc_spec,useful,2040,year,130.04,GWa
R11_SAS,rc_spec,useful,2050,year,189.43,GWa
R11_SAS,rc_spec,useful,2060,year,272.51,GWa
R11_SAS,rc_spec,useful,2070,year,390.5,GWa
R11_SAS,rc_spec,useful,2080,year,506.71,GWa
R11_SAS,rc_spec,useful,2090,year,632.74,GWa
R11_SAS,rc_spec,useful,2100,year,755.56,GWa
R11_SAS,rc_spec,useful,2110,year,901.83,GWa
R11_SAS,rc_spec,useful,2025,year,57.05,GWa
R11_SAS,rc_spec,useful,2035,year,104.04,GWa
R11_SAS,rc_spec,useful,2045,year,159.74,GWa
R11_SAS,rc_spec,useful,2055,year,230.96,GWa
R11_SAS,rc_therm,useful,2020,year,74.42,GWa
R11_SAS,rc_therm,useful,2030,year,102.52,GWa
R11_SAS,rc_therm,useful,2040,year,168.46,GWa
R11_SAS,rc_therm,useful,2050,year,275.74,GWa
R11_SAS,rc_therm,useful,2060,year,414,GWa
R11_SAS,rc_therm,useful,2070,year,566.33,GWa
R11_SAS,rc_therm,useful,2080,year,724.64,GWa
R11_SAS,rc_therm,useful,2090,year,839.12,GWa
R11_SAS,rc_therm,useful,2100,year,948.48,GWa
R11_SAS,rc_therm,useful,2110,year,1073.8,GWa
R11_SAS,rc_therm,useful,2025,year,88.47,GWa
R11_SAS,rc_therm,useful,2035,year,135.49,GWa
R11_SAS,rc_therm,useful,2045,year,222.1,GWa
R11_SAS,rc_therm,useful,2055,year,344.87,GWa
R11_SAS,transport,useful,2020,year,182.7,GWa
R11_SAS,transport,useful,2030,year,285.8,GWa
R11_SAS,transport,useful,2040,year,416.93,GWa
R11_SAS,transport,useful,2050,year,595.38,GWa
R11_SAS,transport,useful,2060,year,821.78,GWa
R11_SAS,transport,useful,2070,year,1083.76,GWa
R11_SAS,transport,useful,2080,year,1373.74,GWa
R11_SAS,transport,useful,2090,year,1659.23,GWa
R11_SAS,transport,useful,2100,year,1937.19,GWa
R11_SAS,transport,useful,2110,year,2261.94,GWa
R11_SAS,transport,useful,2025,year,234.25,GWa
R11_SAS,transport,useful,2035,year,351.37,GWa
R11_SAS,transport,useful,2045,year,506.16,GWa
R11_SAS,transport,useful,2055,year,708.58,GWa
R11_SAS,i_feed,useful,1990,year,22.4636,GWa
R11_SAS,i_feed,useful,1995,year,30.9211,GWa
R11_SAS,i_feed,useful,2000,year,42.673,GWa
R11_SAS,i_feed,useful,2005,year,46.2773,GWa
R11_SAS,i_feed,useful,2010,year,52.4403,GWa
R11_SAS,i_feed,useful,2015,year,68.05,???
R11_SAS,i_spec,useful,1990,year,11.839,GWa
R11_SAS,i_spec,useful,1995,year,15.5391,GWa
R11_SAS,i_spec,useful,2000,year,17.8804,GWa
R11_SAS,i_spec,useful,2005,year,23.541,GWa
R11_SAS,i_spec,useful,2010,year,30.1750344,GWa
R11_SAS,i_spec,useful,2015,year,42.49,???
R11_SAS,i_therm,useful,1990,year,44.4382,GWa
