node,tec,vintage,year_all,mode,time,level
R12_PAK,hydro_hc,1960,1960,M1,year,0
R12_PAK,hydro_hc,1960,1965,M1,year,0
R12_PAK,hydro_hc,1960,1970,M1,year,0
R12_PAK,hydro_hc,1960,1975,M1,year,0
R12_PAK,hydro_hc,1960,1980,M1,year,0
R12_PAK,hydro_hc,1960,1985,M1,year,0
R12_PAK,hydro_hc,1960,1990,M1,year,0
R12_PAK,hydro_hc,1960,1995,M1,year,0
R12_PAK,hydro_hc,1960,2000,M1,year,0
R12_PAK,hydro_hc,1960,2005,M1,year,0
R12_PAK,hydro_hc,1960,2010,M1,year,0
R12_PAK,hydro_hc,1960,2015,M1,year,0
R12_PAK,hydro_hc,1960,2020,M1,year,0
R12_PAK,hydro_hc,1960,2025,M1,year,0.0678252
R12_PAK,hydro_hc,1965,1965,M1,year,0
R12_PAK,hydro_hc,1965,1970,M1,year,0
R12_PAK,hydro_hc,1965,1975,M1,year,0
R12_PAK,hydro_hc,1965,1980,M1,year,0
R12_PAK,hydro_hc,1965,1985,M1,year,0
R12_PAK,hydro_hc,1965,1990,M1,year,0
R12_PAK,hydro_hc,1965,1995,M1,year,0
R12_PAK,hydro_hc,1965,2000,M1,year,0
R12_PAK,hydro_hc,1965,2005,M1,year,0
R12_PAK,hydro_hc,1965,2010,M1,year,0
R12_PAK,hydro_hc,1965,2015,M1,year,0
R12_PAK,hydro_hc,1965,2020,M1,year,0
R12_PAK,hydro_hc,1965,2025,M1,year,0
R12_PAK,hydro_hc,1970,1970,M1,year,0
R12_PAK,hydro_hc,1970,1975,M1,year,0
R12_PAK,hydro_hc,1970,1980,M1,year,0
R12_PAK,hydro_hc,1970,1985,M1,year,0
R12_PAK,hydro_hc,1970,1990,M1,year,0
R12_PAK,hydro_hc,1970,1995,M1,year,0
R12_PAK,hydro_hc,1970,2000,M1,year,0
R12_PAK,hydro_hc,1970,2005,M1,year,0
R12_PAK,hydro_hc,1970,2010,M1,year,0
R12_PAK,hydro_hc,1970,2015,M1,year,0
R12_PAK,hydro_hc,1970,2020,M1,year,0
R12_PAK,hydro_hc,1970,2025,M1,year,0
R12_PAK,hydro_hc,1970,2030,M1,year,0
R12_PAK,hydro_hc,1975,1975,M1,year,0
R12_PAK,hydro_hc,1975,1980,M1,year,0
R12_PAK,hydro_hc,1975,1985,M1,year,0
R12_PAK,hydro_hc,1975,1990,M1,year,0
R12_PAK,hydro_hc,1975,1995,M1,year,0
R12_PAK,hydro_hc,1975,2000,M1,year,0
R12_PAK,hydro_hc,1975,2005,M1,year,0
R12_PAK,hydro_hc,1975,2010,M1,year,0
R12_PAK,hydro_hc,1975,2015,M1,year,0
R12_PAK,hydro_hc,1975,2020,M1,year,0
R12_PAK,hydro_hc,1975,2025,M1,year,0
R12_PAK,hydro_hc,1975,2030,M1,year,0
R12_PAK,hydro_hc,1980,1980,M1,year,0
R12_PAK,hydro_hc,1980,1985,M1,year,0
R12_PAK,hydro_hc,1980,1990,M1,year,0
R12_PAK,hydro_hc,1980,1995,M1,year,0
R12_PAK,hydro_hc,1980,2000,M1,year,0
R12_PAK,hydro_hc,1980,2005,M1,year,0
R12_PAK,hydro_hc,1980,2010,M1,year,0
R12_PAK,hydro_hc,1980,2015,M1,year,0
R12_PAK,hydro_hc,1980,2020,M1,year,0
R12_PAK,hydro_hc,1980,2025,M1,year,0.381517
R12_PAK,hydro_hc,1980,2030,M1,year,0.402464
R12_PAK,hydro_hc,1980,2035,M1,year,0.21775
R12_PAK,hydro_hc,1985,1985,M1,year,0
R12_PAK,hydro_hc,1985,1990,M1,year,0
R12_PAK,hydro_hc,1985,1995,M1,year,0
R12_PAK,hydro_hc,1985,2000,M1,year,0
R12_PAK,hydro_hc,1985,2005,M1,year,0
R12_PAK,hydro_hc,1985,2010,M1,year,0
R12_PAK,hydro_hc,1985,2015,M1,year,0
R12_PAK,hydro_hc,1985,2020,M1,year,0
R12_PAK,hydro_hc,1985,2025,M1,year,0.648578
R12_PAK,hydro_hc,1985,2030,M1,year,0.684188
R12_PAK,hydro_hc,1985,2035,M1,year,0.719798
R12_PAK,hydro_hc,1985,2040,M1,year,0.755408
R12_PAK,hydro_hc,1990,1990,M1,year,0
R12_PAK,hydro_hc,1990,1995,M1,year,0
R12_PAK,hydro_hc,1990,2000,M1,year,0
R12_PAK,hydro_hc,1990,2005,M1,year,0
R12_PAK,hydro_hc,1990,2010,M1,year,0
R12_PAK,hydro_hc,1990,2015,M1,year,0
R12_PAK,hydro_hc,1990,2020,M1,year,0
R12_PAK,hydro_hc,1990,2025,M1,year,0
R12_PAK,hydro_hc,1990,2030,M1,year,0
R12_PAK,hydro_hc,1990,2035,M1,year,0
R12_PAK,hydro_hc,1990,2040,M1,year,0
R12_PAK,hydro_hc,1990,2045,M1,year,0
R12_PAK,hydro_hc,1995,1995,M1,year,0
R12_PAK,hydro_hc,1995,2000,M1,year,0
R12_PAK,hydro_hc,1995,2005,M1,year,0
R12_PAK,hydro_hc,1995,2010,M1,year,0
R12_PAK,hydro_hc,1995,2015,M1,year,0
R12_PAK,hydro_hc,1995,2020,M1,year,0
R12_PAK,hydro_hc,1995,2025,M1,year,0.817294
R12_PAK,hydro_hc,1995,2030,M1,year,0.862167
R12_PAK,hydro_hc,1995,2035,M1,year,0.90704
R12_PAK,hydro_hc,1995,2040,M1,year,0.951913
