,Model,Scenario,Region,Variable,Unit,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
0,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|adipic_thermal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|ammonia_secloop,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|bio_hpl,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.512047376346578,0.6405659144253665,0.8030739042639561,1.3309505591523338,2.2512307842451893,3.425767467864551,4.924806981647838,4.4028595238146435
3,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|bio_istig,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5996549970313282,0.5017626367249765,0.5735766723950609,0.07366135814459769,0.902068689181351,0.0,0.0,0.0
4,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|bio_istig_ccs,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2910946034106174,0.07435908011768004
5,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|bio_ppl,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045124065304403466,0.0648458255085172,0.10385321901322375,0.15743160095213501,0.24076424180755854,0.19509252308826405,0.046095721294314274
6,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|bio_ppl_co2scr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|biomass_i,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.427981036815541,3.9335976487146436,6.264140997123281,6.006836083670027,3.8333082223886707,7.413491694950844,6.806225867936695,9.136258436078762
8,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|biomass_nc,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9930758126965872,1.0295220966391365,0.9967490764255125,0.8390453849727953,0.0,0.7141147137337022,0.44719008065492033,0.0
9,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|c_ppl_co2scr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|cement_co2scr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2445133264938454,0.8969704306086602,1.3179438377526909,1.3957485099017068
11,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|coal_adv,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24096385542168677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|coal_adv_ccs,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|coal_extr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9820049100098196,4.9100343694084995e-06,0.9820098200687396,9.820117839688517e-06,0.0,0.0,0.0,0.0
14,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|coal_extr_ch4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6389710011111109,0.8961898834755004,1.8959236732155056,1.5300968091623794,0.0,0.56599130390366,0.0,1.432803083962339
15,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|coal_gas,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|coal_hpl,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|coal_i,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8221696169310229,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|coal_ppl,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7710843373493977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|coal_ppl_u,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|csp_sm1_ppl,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2762815624999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|csp_sm1_res,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2762815624999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|csp_sm1_res1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,COMMITTED,adjusting emissions,Pakistan,CAP_NEW|new capacity|csp_sm1_res2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
