2025,2030,2035,2040,2045,2050,2055,2060,2070,Model,Region,Scenario,Unit,Variable
1.660709622,1.5927029,1.910988799,2.018389711,2.03901778,2.068000969,1.985732613,2.170227888,3.43224397,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Resource|Extraction
0.195515902,0.256568536,0.359850644,0.504709143,0.557169784,0.288428373,0.089600629,0.125669518,0.247210962,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Resource|Extraction|Coal
1.46519372,1.336134364,1.551138155,1.513680567,1.481847996,1.779572596,1.896131984,2.04455837,3.185033007,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Resource|Extraction|Gas
1.46519372,1.336134364,1.551138155,1.513680567,1.481847996,1.779572596,1.896131984,2.04455837,3.185033007,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Resource|Extraction|Gas|Conventional
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Resource|Extraction|Gas|Unconventional
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Resource|Extraction|Oil
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Resource|Extraction|Oil|Conventional
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Resource|Extraction|Oil|Unconventional
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,World,CurPol,EJ/yr,Resource|Extraction
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,World,CurPol,EJ/yr,Resource|Extraction|Coal
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,World,CurPol,EJ/yr,Resource|Extraction|Gas
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,World,CurPol,EJ/yr,Resource|Extraction|Gas|Conventional
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,World,CurPol,EJ/yr,Resource|Extraction|Gas|Unconventional
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,World,CurPol,EJ/yr,Resource|Extraction|Oil
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,World,CurPol,EJ/yr,Resource|Extraction|Oil|Conventional
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,World,CurPol,EJ/yr,Resource|Extraction|Oil|Unconventional
0.03534651,0.043310024,0.052864968,0.062956917,0.073152005,0.08349201,0.093420673,0.115122952,0.149445392,MESSAGEix-Pakistan 1,R12_PAK,CurPol,ZJ,Resource|Cumulative Extraction
0.002379915,0.003662758,0.005462011,0.007985557,0.010771406,0.012213548,0.012661551,0.013918246,0.016390356,MESSAGEix-Pakistan 1,R12_PAK,CurPol,ZJ,Resource|Cumulative Extraction|Coal
0.029343857,0.036024528,0.043780219,0.051348622,0.058757862,0.067655725,0.077136385,0.097581969,0.129432299,MESSAGEix-Pakistan 1,R12_PAK,CurPol,ZJ,Resource|Cumulative Extraction|Gas
0.029343857,0.036024528,0.043780219,0.051348622,0.058757862,0.067655725,0.077136385,0.097581969,0.129432299,MESSAGEix-Pakistan 1,R12_PAK,CurPol,ZJ,Resource|Cumulative Extraction|Gas|Conventional
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,ZJ,Resource|Cumulative Extraction|Gas|Unconventional
0.003622738,0.003622738,0.003622738,0.003622738,0.003622738,0.003622738,0.003622738,0.003622738,0.003622738,MESSAGEix-Pakistan 1,R12_PAK,CurPol,ZJ,Resource|Cumulative Extraction|Oil
0.003236921,0.003236921,0.003236921,0.003236921,0.003236921,0.003236921,0.003236921,0.003236921,0.003236921,MESSAGEix-Pakistan 1,R12_PAK,CurPol,ZJ,Resource|Cumulative Extraction|Oil|Conventional
0.000385817,0.000385817,0.000385817,0.000385817,0.000385817,0.000385817,0.000385817,0.000385817,0.000385817,MESSAGEix-Pakistan 1,R12_PAK,CurPol,ZJ,Resource|Cumulative Extraction|Oil|Unconventional
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,ZJ,Resource|Cumulative Extraction|Uranium
0.03534651,0.043310024,0.052864968,0.062956917,0.073152005,0.08349201,0.093420673,0.115122952,0.149445392,MESSAGEix-Pakistan 1,World,CurPol,ZJ,Resource|Cumulative Extraction
0.002379915,0.003662758,0.005462011,0.007985557,0.010771406,0.012213548,0.012661551,0.013918246,0.016390356,MESSAGEix-Pakistan 1,World,CurPol,ZJ,Resource|Cumulative Extraction|Coal
0.029343857,0.036024528,0.043780219,0.051348622,0.058757862,0.067655725,0.077136385,0.097581969,0.129432299,MESSAGEix-Pakistan 1,World,CurPol,ZJ,Resource|Cumulative Extraction|Gas
0.029343857,0.036024528,0.043780219,0.051348622,0.058757862,0.067655725,0.077136385,0.097581969,0.129432299,MESSAGEix-Pakistan 1,World,CurPol,ZJ,Resource|Cumulative Extraction|Gas|Conventional
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,World,CurPol,ZJ,Resource|Cumulative Extraction|Gas|Unconventional
0.003622738,0.003622738,0.003622738,0.003622738,0.003622738,0.003622738,0.003622738,0.003622738,0.003622738,MESSAGEix-Pakistan 1,World,CurPol,ZJ,Resource|Cumulative Extraction|Oil
0.003236921,0.003236921,0.003236921,0.003236921,0.003236921,0.003236921,0.003236921,0.003236921,0.003236921,MESSAGEix-Pakistan 1,World,CurPol,ZJ,Resource|Cumulative Extraction|Oil|Conventional
0.000385817,0.000385817,0.000385817,0.000385817,0.000385817,0.000385817,0.000385817,0.000385817,0.000385817,MESSAGEix-Pakistan 1,World,CurPol,ZJ,Resource|Cumulative Extraction|Oil|Unconventional
0.040915157,0.04103704,0.04103704,0.041133987,0.041230934,0.04132788,0.041424827,0.041605669,0.041799562,MESSAGEix-Pakistan 1,World,CurPol,ZJ,Resource|Cumulative Extraction|Uranium
3.458199447,4.259099327,5.159863089,6.012773765,7.082194685,8.077390426,9.216729803,10.23853502,12.56479639,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy
0.449476246,0.742209505,0.957055108,1.167318509,1.394851694,1.62273209,1.960335544,2.322169877,3.165542892,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Electricity
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Electricity|Solar
1.044396398,1.081500238,1.170324923,1.100573576,0.885461783,0.666343536,0.436774907,0.22694976,0.129634412,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Gases
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Geothermal
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Heat
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Hydrogen
1.486470211,1.879723961,2.3266167,2.729691784,3.082121936,3.457618284,3.817337614,4.1472554,4.781763216,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Industry
0.112551201,0.172565641,0.230017196,0.285976228,0.345285787,0.403044801,0.463276412,0.522748513,0.637836237,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Industry|Electricity
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Industry|Electricity|Solar
0.719369444,0.747053782,0.770637168,0.770363672,0.646511097,0.511360182,0.358403565,0.217748908,0.129634412,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Industry|Gases
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Industry|Heat
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Industry|Hydrogen
0.134311116,0.182464901,0.258259142,0.363547456,0.468609589,0.603291446,0.77367095,0.956398908,1.392348399,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Industry|Liquids
0.006575901,0.002908572,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Industry|Liquids|Biomass
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Industry|Liquids|Coal
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Industry|Liquids|Gas
0.127735216,0.179556329,0.258259142,0.363547456,0.468609589,0.603291446,0.77367095,0.956398908,1.392348399,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Industry|Liquids|Oil
0.009159833,0.02484065,0.051684812,0.097639624,0.17584717,0.178127172,0.180350742,0.182519275,0.186696649,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Industry|Other
0.511078617,0.752798988,1.016018382,1.212164804,1.445868292,1.761794683,2.041635946,2.267839796,2.435247519,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Industry|Solids
0.227924409,0.349039923,0.421108461,0.398713436,0.371785617,0.49675607,0.611523522,0.518827752,0.636384268,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Industry|Solids|Biomass
0.283154208,0.403759064,0.594909921,0.813451368,1.074082676,1.265038613,1.430112424,1.749012044,1.798863251,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Industry|Solids|Coal
1.107260691,1.337384028,1.677397134,2.098156395,2.818654937,3.614132593,4.468381228,5.121543939,6.549630138,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Liquids
0.006575901,0.002908572,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Liquids|Biomass
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Liquids|Coal
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Liquids|Gas
1.100684791,1.334475457,1.677397134,2.098156395,2.818654937,3.614132593,4.468381228,5.121543939,6.549630138,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Liquids|Oil
0.238333793,0.286708473,0.346058174,0.405407874,0.469833243,0.534258611,0.595656388,0.657031903,0.773260255,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Non-Energy Use
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Non-Energy Use|Biomass
0,0,0,0,0,0,0,0,0,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Non-Energy Use|Coal
0.206692318,0.236104454,0.260665412,0.25503369,0.256287777,0.232875645,0.180522431,0.132149039,0.040306553,MESSAGEix-Pakistan 1,R12_PAK,CurPol,EJ/yr,Final Energy|Non-Energy Use|Gas
